"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"E13","PH14","I/O","UART4_RX","STMOD_UART4_RXD","","","","TIM8_CH2N","","","","","UART4_RX","CAN1_RX","","","FMC_D22"
"E14","PI0","I/O","SPI2_NSS","PMOD_SPI2_NSS","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","","FMC_D24"
"E15","PA9","I/O","USB_OTG_FS_VBUS","","","TIM1_CH2","","","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","","","","",""
"F1","PC15-OSC32_OUT","I/O","RCC_OSC32_OUT","","","","","","","","","","","","","",""
"F2","VSS","Power","","","","","","","","","","","","","","",""
"F3","VDD","Power","","","","","","","","","","","","","","",""
"F4","PH2","Output","GPIO_Output","PMOD_GPIO_1","","","","LPTIM1_IN2","","","","","","QUADSPI_BK2_IO0","SAI2_SCK_B","","FMC_SDCKE0"
"F6","VSS","Power","","","","","","","","","","","","","","",""
"F7","VSS","Power","","","","","","","","","","","","","","",""
"F8","VSS","Power","","","","","","","","","","","","","","",""
"F9","VSS","Power","","","","","","","","","","","","","","",""
"F10","VSS","Power","","","","","","","","","","","","","","",""
"F12","VSS","Power","","","","","","","","","","","","","","",""
"F13","VCAP_2","Power","","","","","","","","","","","","","","",""
"F14","PC9","I/O","QUADSPI_BK1_IO0","QSPI_D0 [MX25L51245G_SIO0]","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","UART5_CTS","","QUADSPI_BK1_IO0","","","SDMMC1_D1"
"F15","PA8","I/O","I2C3_SCL","CTP_SCL","RCC_MCO_1","TIM1_CH1","","TIM8_BKIN2","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","",""
"G1","PH0-OSC_IN","I/O","RCC_OSC_IN","","","","","","","","","","","","","",""
"G2","VSS","Power","","","","","","","","","","","","","","",""
"G3","VDD","Power","","","","","","","","","","","","","","",""
"G4","PH3","Output","GPIO_Output","ARD_D4_GPIO","","","","","","","","","","QUADSPI_BK2_IO1","SAI2_MCLK_B","","FMC_SDNE0"
"G6","VSS","Power","","","","","","","","","","","","","","",""
"G7","VSS","Power","","","","","","","","","","","","","","",""
"G8","VSS","Power","","","","","","","","","","","","","","",""
"G9","VSS","Power","","","","","","","","","","","","","","",""
"G10","VSS","Power","","","","","","","","","","","","","","",""
"G12","VSS","Power","","","","","","","","","","","","","","",""
"G13","VDD","Power","","","","","","","","","","","","","","",""
"G14","PC8","I/O","GPIO_EXTI8","LCD_TE_INT","SYS_TRACED1","","TIM3_CH3","TIM8_CH3","","","","UART5_DE/UART5_RTS","USART6_CK","","","","SDMMC1_D0"
"G15","PC7","I/O","USART6_RX","VCP_RX [STM32F103CBT6_PA2]","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","SDMMC2_D7","","SDMMC1_D7"
"H1","PH1-OSC_OUT","I/O","RCC_OSC_OUT","","","","","","","","","","","","","",""
"H2","PF2","I/O","FMC_A2","PSRAM_A2","","","","","I2C2_SMBA","","","","","","","","FMC_A2"
"H3","PF1","I/O","FMC_A1","PSRAM_A1","","","","","I2C2_SCL","","","","","","","","FMC_A1"
"H4","PH4","I/O","I2C2_SCL","ARD_D15_STMOD_I2C2_SCL","","","","","I2C2_SCL","","","","","","","",""
"H6","VSS","Power","","","","","","","","","","","","","","",""
"H7","VSS","Power","","","","","","","","","","","","","","",""
"H8","VSS","Power","","","","","","","","","","","","","","",""
"H9","VSS","Power","","","","","","","","","","","","","","",""
"H10","VSS","Power","","","","","","","","","","","","","","",""
"H12","VSS","Power","","","","","","","","","","","","","","",""
"H13","VDDUSB","Power","","","","","","","","","","","","","","",""
"H14","PG8","Output","GPIO_Output","USB_OTGFS_PPWR_EN","","","","","","","","","USART6_DE/USART6_RTS","","","","FMC_SDCLK"
"H15","PC6","I/O","USART6_TX","VCP_TX [STM32F103CBT6_PA3]","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","SDMMC2_D6","","SDMMC1_D6"
"J1","NRST","Reset","","","","","","","","","","","","","","",""
"J2","PF3","I/O","FMC_A3","PSRAM_A3","","","","","","","","","","","","","FMC_A3"
"J3","PF4","I/O","FMC_A4","PSRAM_A4","","","","","","","","","","","","","FMC_A4"
"J4","PH5","I/O","I2C2_SDA","ARD_D14_STMOD_I2C2_SDA","","","","","I2C2_SDA","SPI5_NSS","","","","","","","FMC_SDNWE"
"J6","VSS","Power","","","","","","","","","","","","","","",""
"J7","VSS","Power","","","","","","","","","","","","","","",""
"J8","VSS","Power","","","","","","","","","","","","","","",""
"J9","VSS","Power","","","","","","","","","","","","","","",""
"J10","VSS","Power","","","","","","","","","","","","","","",""
"J12","VDD","Power","","","","","","","","","","","","","","",""
"J13","VDD","Power","","","","","","","","","","","","","","",""
"J14","V12PHYHS","Power","","","","","","","","","","","","","","",""
"J15","REXTPHYHS","MonoIO","USB_OTG_HS_REXTPHYHS","REXT_OTGPHY","","","","","","","","","","","","",""
"K1","PF7","I/O","UART7_TX","PMOD_UART7_TXD","","","","TIM11_CH1","","SPI5_SCK","SAI1_MCLK_B","","UART7_TX","QUADSPI_BK1_IO2","","",""
"K2","PF6","I/O","UART7_RX","PMOD_UART7_RXD","","","","TIM10_CH1","","SPI5_NSS","SAI1_SD_B","","UART7_RX","QUADSPI_BK1_IO3","","",""
"K3","PF5","I/O","FMC_A5","PSRAM_A5","","","","","","","","","","","","","FMC_A5"
"K4","VDD","Power","","","","","","","","","","","","","","",""
"K6","VSS","Power","","","","","","","","","","","","","","",""
"K7","VSS","Power","","","","","","","","","","","","","","",""
"K8","VSS","Power","","","","","","","","","","","","","","",""
"K9","VSS","Power","","","","","","","","","","","","","","",""
"K10","VSS","Power","","","","","","","","","","","","","","",""
"K12","PH12","Output","GPIO_Output","USB_OTGHS_PPWR_EN","","","TIM5_CH3","","","","","","","","","","FMC_D20"
"K13","PG5","I/O","FMC_A15","PSRAM_A15","","","","","","","","","","","","","FMC_A15/FMC_BA1"
"K14","PG4","I/O","FMC_A14","PSRAM_A14","","","","","","","","","","","","","FMC_A14/FMC_BA0"
"K15","PG3","I/O","FMC_A13","PSRAM_A13","","","","","","","","","","","","","FMC_A13"
"L1","PF10","I/O","ADC3_IN8","ARD_A3_ADC3_IN8","","","","","","","","","","","","",""
"L2","PF9","I/O","UART7_CTS","PMOD_UART7_CTS","","","","","","SPI5_MOSI","SAI1_FS_B","","UART7_CTS","TIM14_CH1","QUADSPI_BK1_IO1","",""
"L3","PF8","I/O","UART7_RTS","PMOD_UART7_RTS","","","","","","SPI5_MISO","SAI1_SCK_B","","UART7_DE/UART7_RTS","TIM13_CH1","QUADSPI_BK1_IO0","",""
"L4","BYPASS_REG","Reset","","","","","","","","","","","","","","",""
"L12","PH11","I/O","TIM5_CH2","LCD_BL [STLD40DPUR_EN]","","","TIM5_CH2","","","","","","","","","","FMC_D19"
"L13","PH10","Input","GPIO_Input","USB_OTGHS_OVCR_INT","","","TIM5_CH1","","","","","","","","","","FMC_D18"
"L14","PD15","I/O","FMC_D1","LCD_PSRAM_D1","","","TIM4_CH4","","","","","","UART8_DE/UART8_RTS","","","","FMC_D1/FMC_DA1"
"L15","PG2","I/O","FMC_A12","PSRAM_A12","","","","","","","","","","","","","FMC_A12"
"M1","VSSA","Power","","","","","","","","","","","","","","",""
"M2","PC0","I/O","ADC2_IN10 ADC1_IN10","ARD_A4","","","","","","","","","SAI2_FS_B","","","","FMC_SDNWE"
"M3","PC1","I/O","ADC2_IN11 ADC1_IN11","ARD_A5","SYS_TRACED0","","","","","I2S2_SD/SPI2_MOSI","SAI1_SD_A","","","","","",""
"M4","PC2","I/O","SPI2_MISO","STMOD_SPI2_MISOs","","","","","","SPI2_MISO","","","","","","","FMC_SDNE0"
"M5","PC3","I/O","SPI2_MOSI","STMOD+_SPI2_MOSIs","","","","","","I2S2_SD/SPI2_MOSI","","","","","","","FMC_SDCKE0"
"M6","PB2","I/O","QUADSPI_CLK","QSPI_CLK [MX25L51245G_SCLK]","","","","","","","SAI1_SD_A","I2S3_SD/SPI3_MOSI","","QUADSPI_CLK","","",""
"M7","PG1","I/O","FMC_A11","PSRAM_A11","","","","","","","","","","","","","FMC_A11"
"M8","VSS","Power","","","","","","","","","","","","","","",""
"M9","VSS","Power","","","","","","","","","","","","","","",""
"M10","VCAP_1","Power","","","","","","","","","","","","","","",""
"M11","PH6","I/O","TIM12_CH1","ARD_D9_TIM12_CH1","","","","","I2C2_SMBA","SPI5_SCK","","","","TIM12_CH1","","","FMC_SDNE1"
"M12","PH8","I/O","I2C3_SDA","CTP_SDA","","","","","I2C3_SDA","","","","","","","","FMC_D16"
"M13","PH9","Output","GPIO_Output","CTP_RST","","","","","I2C3_SMBA","","","","","TIM12_CH2","","","FMC_D17"
"M14","PD14","I/O","FMC_D0","LCD_PSRAM_D0","","","TIM4_CH3","","","","","","UART8_CTS","","","","FMC_D0/FMC_DA0"
"M15","PD13","I/O","QUADSPI_BK1_IO3","QSPI_D3 [MX25L51245G_SIO3]","","","TIM4_CH2","LPTIM1_OUT","","","","","","QUADSPI_BK1_IO3","SAI2_SCK_A","","FMC_A18"
"N1","VREF-","Power","","","","","","","","","","","","","","",""
"N2","PA1","I/O","TIM2_CH2","ARD_D10_TIM2_CH2_SPI1_NSS","","TIM2_CH2","TIM5_CH2","","","","","USART2_DE/USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","SAI2_MCLK_B","",""
"N3","PA0-WKUP","I/O","SYS_WKUP1","SYS_B_User","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","SAI2_SD_B","",""
"N4","PA4","I/O","ADC2_IN4 ADC1_IN4","ARD_A1","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF"
"N5","PC4","I/O","ADC2_IN14 ADC1_IN14","ARD_A2","","","","","","I2S1_MCK","","","","","","","FMC_SDNE0"
"N6","PF13","I/O","FMC_A7","PSRAM_A7","","","","","","","","","","","","","FMC_A7"
"N7","PG0","I/O","FMC_A10","PSRAM_A10","","","","","","","","","","","","","FMC_A10"
"N8","VDD","Power","","","","","","","","","","","","","","",""
"N9","VDD","Power","","","","","","","","","","","","","","",""
"N10","VDD","Power","","","","","","","","","","","","","","",""
"N11","PE13","I/O","FMC_D10","LCD_PSRAM_D10","","TIM1_CH3","","","","SPI4_MISO","","","","","SAI2_FS_B","","FMC_D10/FMC_DA10"
"N12","PH7","Output","GPIO_Output","LCD_RST","","","","","I2C3_SCL","SPI5_MISO","","","","","","","FMC_SDCKE1"
"N13","PD12","I/O","FMC_A17","PSRAM_A17","","","TIM4_CH1","LPTIM1_IN1","","","","USART3_DE/USART3_RTS","","QUADSPI_BK1_IO1","SAI2_FS_A","","FMC_A17/FMC_ALE"
"N14","PD11","I/O","FMC_A16","PSRAM_A16","","","","","","","","USART3_CTS","","QUADSPI_BK1_IO0","SAI2_SD_A","","FMC_A16/FMC_CLE"
"N15","PD10","I/O","FMC_D15","LCD_PSRAM_D15","","","","","","","","USART3_CK","","","","","FMC_D15/FMC_DA15"
"P1","VREF+","Power","","","","","","","","","","","","","","",""
"P2","PA2","I/O","USART2_TX","ARD_D1_USART2_TX","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","SAI2_SCK_B","","","",""
"P3","PA6","I/O","ADC2_IN6 ADC1_IN6","ARD_A0","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","",""
"P4","PA5","I/O","SPI1_SCK","ARD_D13_SPI1_SCK","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","","","","",""
"P5","PC5","Output","GPIO_Output","ARD_D2_GPIO","","","","","","","","","","","","","FMC_SDCKE0"
"P6","PF12","I/O","FMC_A6","PSRAM_A6","","","","","","","","","","","","","FMC_A6"
"P7","PF15","I/O","FMC_A9","PSRAM_A9","","","","","","","","","","","","","FMC_A9"
"P8","PE8","I/O","FMC_D5","LCD_PSRAM_D5","","TIM1_CH1N","","","","","","","UART7_TX","","QUADSPI_BK2_IO1","","FMC_D5/FMC_DA5"
"P9","PE9","I/O","FMC_D6","LCD_PSRAM_D6","","TIM1_CH1","","","","","","","UART7_DE/UART7_RTS","","QUADSPI_BK2_IO2","","FMC_D6/FMC_DA6"
"P10","PE11","I/O","FMC_D8","LCD_PSRAM_D8","","TIM1_CH2","","","","SPI4_NSS","","","","","SAI2_SD_B","","FMC_D8/FMC_DA8"
"P11","PE14","I/O","FMC_D11","LCD_PSRAM_D11","","TIM1_CH4","","","","SPI4_MOSI","","","","","SAI2_MCLK_B","","FMC_D11/FMC_DA11"
"P12","PB12","Output","GPIO_Output","USB_OTG_HS_ID","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","USART3_CK","","","","","USB_OTG_HS_ID"
"P13","PB13","I/O","GPIO_EXTI13","USB_OTG_HS_VBUS","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","","USART3_CTS","","","","",""
"P14","PD9","I/O","FMC_D14","LCD_PSRAM_D14","","","","","","","","USART3_RX","","","","","FMC_D14/FMC_DA14"
"P15","PD8","I/O","FMC_D13","LCD_PSRAM_D13","","","","","","","","USART3_TX","","","","","FMC_D13/FMC_DA13"
"R1","VDDA","Power","","","","","","","","","","","","","","",""
"R2","PA3","I/O","USART2_RX","ARD_D0_USART2_RX","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","","",""
"R3","PA7","Output","GPIO_Output","SYS_LD_USER1","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","","","TIM14_CH1","","","FMC_SDNWE"
"R4","PB1","Output","GPIO_Output","SYS_LD_USER2","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","","",""
"R5","PB0","I/O","TIM3_CH3","ARD_D5_STMOD_TIM3_CH3","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","","UART4_CTS","","","",""
"R6","PF11","Input","GPIO_Input","PMOD_RESET","","","","","","SPI5_MOSI","","","","","SAI2_SD_B","","FMC_SDNRAS"
"R7","PF14","I/O","FMC_A8","PSRAM_A8","","","","","","","","","","","","","FMC_A8"
"R8","PE7","I/O","FMC_D4","LCD_PSRAM_D4","","TIM1_ETR","","","","","","","UART7_RX","","QUADSPI_BK2_IO0","","FMC_D4/FMC_DA4"
"R9","PE10","I/O","FMC_D7","LCD_PSRAM_D7","","TIM1_CH2N","","","","","","","UART7_CTS","","QUADSPI_BK2_IO3","","FMC_D7/FMC_DA7"
"R10","PE12","I/O","FMC_D9","LCD_PSRAM_D9","","TIM1_CH3N","","","","SPI4_SCK","","","","","SAI2_SCK_B","","FMC_D9/FMC_DA9"
"R11","PE15","I/O","FMC_D12","LCD_PSRAM_D12","","TIM1_BKIN","","","","","","","","","","","FMC_D12/FMC_DA12"
"R12","PB10","I/O","GPIO_EXTI10","USB_OTGFS_OVCR_INT","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","USART3_TX","","","","",""
"R13","PB11","I/O","GPIO_EXTI11","PMOD_INT","","TIM2_CH4","","","I2C2_SDA","","","USART3_RX","","","","",""
"R14","PB14","I/O","USB_OTG_HS_DM","","","","","","","","","","","","","","USB_OTG_HS_DM"
"R15","PB15","I/O","USB_OTG_HS_DP","","","","","","","","","","","","","","USB_OTG_HS_DP"
