"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"47","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_SCK/SPI2_SCK","","USART3_TX","","","USB_OTG_HS_ULPI_D3","",""
"48","PB11","Output","GPIO_Output","IF25_SPI2_CSN1","","TIM2_CH4","","","I2C2_SDA","","","USART3_RX","","","USB_OTG_HS_ULPI_D4","",""
"49","VCAP_1","Power","","","","","","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","","","","","","",""
"51","PB12","Output","GPIO_Output","IF26_SPI2_CSN2","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","","USB_OTG_HS_ID"
"52","PB13","I/O","SPI2_SCK","IF27_SPI2_SCK","","TIM1_CH1N","","","","I2S2_SCK/SPI2_SCK","","USART3_CTS","","CAN2_TX","USB_OTG_HS_ULPI_D6","","USB_OTG_HS_VBUS"
"53","PB14","I/O","SPI2_MISO","IF28_SPI2_SDO","","TIM1_CH2N","","TIM8_CH2N","","SPI2_MISO","","USART3_RTS","","TIM12_CH1","","","USB_OTG_HS_DM"
"54","PB15","I/O","SPI2_MOSI","IF29_SPI2_SDI","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","USB_OTG_HS_DP"
"55","PD8","I/O","USART3_TX","WIRELESS_RX","","","","","","","","USART3_TX","","","","","FSMC_D13/FSMC_DA13"
"56","PD9","I/O","USART3_RX","WIRELESS_TX","","","","","","","","USART3_RX","","","","","FSMC_D14/FSMC_DA14"
"57","PD10","I/O","","","","","","","","","","USART3_CK","","","","","FSMC_D15/FSMC_DA15"
"58","PD11","I/O","","","","","","","","","","USART3_CTS","","","","","FSMC_A16/FSMC_CLE"
"59","PD12","I/O","","","","","TIM4_CH1","","","","","USART3_RTS","","","","","FSMC_A17/FSMC_ALE"
"60","PD13","I/O","","","","","TIM4_CH2","","","","","","","","","","FSMC_A18"
"61","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","","FSMC_D0/FSMC_DA0"
"62","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","","FSMC_D1/FSMC_DA1"
"63","PC6","I/O","USART6_TX","RS232_TX","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6"
"64","PC7","I/O","USART6_RX","RS232_RX","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","","","SDIO_D7"
"65","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","USART6_CK","","","","SDIO_D0"
"66","PC9","I/O","RCC_MCO_2","IF4_ID_CLK","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","","","","","SDIO_D1"
"67","PA8","I/O","RCC_MCO_1","IF23_CLK16","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","",""
"68","PA9","I/O","USB_OTG_FS_VBUS","V_USB","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","","",""
"69","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","",""
"70","PA11","I/O","USB_OTG_FS_DM","USB_DM","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","",""
"71","PA12","I/O","USB_OTG_FS_DP","USB_DP","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","",""
"72","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","",""
"73","VCAP_2","Power","","","","","","","","","","","","","","",""
"74","VSS","Power","","","","","","","","","","","","","","",""
"75","VDD","Power","","","","","","","","","","","","","","",""
"76","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","",""
"77","PA15","Output","GPIO_Output","IF30_SPI1_CSN","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","",""
"78","PC10","I/O","SPI3_SCK","IF31_SPI1_SCK","","","","","","","I2S3_SCK/SPI3_SCK","USART3_TX","UART4_TX","","","","SDIO_D2"
"79","PC11","I/O","SPI3_MISO","IF33_SPI1_SDO","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","","","","SDIO_D3"
"80","PC12","I/O","SPI3_MOSI","IF32_SPI1_SDI","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK"
"81","PD0","I/O","CAN1_RX","IF34_DIO12_CAN_RX","","","","","","","","","","CAN1_RX","","","FSMC_D2/FSMC_DA2"
"82","PD1","I/O","CAN1_TX","IF35_DIO13_CAN_TX","","","","","","","","","","CAN1_TX","","","FSMC_D3/FSMC_DA3"
"83","PD2","I/O","GPIO_Analog","IF36_DIO14","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD"
"84","PD3","I/O","USART2_CTS","IF37_DIO15_USART_CTS","","","","","","","","USART2_CTS","","","","","FSMC_CLK"
"85","PD4","I/O","USART2_RTS","IF38_DIO16_USART_RTS","","","","","","","","USART2_RTS","","","","","FSMC_NOE"
"86","PD5","I/O","USART2_TX","IF39_DIO17_USART_TX","","","","","","","","USART2_TX","","","","","FSMC_NWE"
"87","PD6","I/O","USART2_RX","IF40_DIO18_USART_RX","","","","","","","","USART2_RX","","","","","FSMC_NWAIT"
"88","PD7","I/O","USART2_CK","IF41_DIO19_USART_CK","","","","","","","","USART2_CK","","","","","FSMC_NCE2/FSMC_NE1"
"89","PB3","I/O","SPI1_SCK","SPI3_SCK","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_SCK/SPI3_SCK","","","","","",""
"90","PB4","I/O","SPI1_MISO","SPI3_MISO","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","","","","","",""
"91","PB5","I/O","SPI1_MOSI","SPI3_MOSI","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","",""
"92","PB6","Output","GPIO_Output","SPI3_CSN","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","CAN2_TX","","",""
"93","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","FSMC_NL"
"94","BOOT0","Boot","","","","","","","","","","","","","","",""
"95","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","","SDIO_D4"
"96","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","CAN1_TX","","","SDIO_D5"
"97","PE0","Output","GPIO_Output","STATUS_GREEN_LED","","","TIM4_ETR","","","","","","","","","","FSMC_NBL0"
"98","PE1","Output","GPIO_Output","ERROR_RED_LED","","","","","","","","","","","","","FSMC_NBL1"
"99","RFU","Power","","","","","","","","","","","","","","",""
"100","VDD","Power","","","","","","","","","","","","","","",""
