"Position","Name","Type","Signal","Label"
"L12","PD14","I/O","UART8_CTS","TMPH2_PD14_CTS8"
"L13","PB12","I/O","CAN2_RX","CAN_RX2"
"L14","PD9","I/O","",""
"L15","PD8","I/O","",""
"M1","VSSA","Power","",""
"M2","PC0","Output","GPIO_Output","NC_USB_HOST_VBUS"
"M3","PC1","I/O","ETH_MDC","MII_MDC"
"M4","PC2","I/O","ETH_TXD2","MII_TXD2"
"M5","PB2","I/O","",""
"M6","PF12","I/O","GPIO_Analog","TMPH5_PF12"
"M7","PG1","I/O","GPIO_Analog","TMPH5_PG1"
"M8","PF15","I/O","I2C4_SDA","TMPH5_PF15_SDA4"
"M9","PJ4","I/O","",""
"M10","PD12","I/O","",""
"M11","PD13","I/O","LPTIM1_OUT","NC_LPTIM1"
"M12","PG3","I/O","GPIO_Analog","TMPH3_PG3"
"M13","PG2","I/O","GPIO_Analog","TMPH3_PG2"
"M14","PJ5","I/O","",""
"M15","PH12","I/O","GPIO_Analog","TMPH3_PH12"
"N1","VREF-","Power","",""
"N2","PA1","I/O","ETH_RX_CLK","MII_RXC"
"N3","PA0/WKUP","I/O","ETH_CRS","MII_CRS"
"N4","PA4","I/O","DAC_OUT1","NC_DAC1"
"N5","PC4","I/O","ETH_RXD0","MII_RXD0"
"N6","PF13","I/O","I2C4_SMBA","TMPH5_PF13_SMBA4"
"N7","PG0","I/O","GPIO_Analog","TMPH5_PG0"
"N8","PJ3","I/O","",""
"N9","PE8","I/O","UART7_TX","UART_TXD7"
"N10","PD11","I/O","",""
"N11","PG5","I/O","GPIO_Analog","TMPH3_PG5"
"N12","PG4","I/O","GPIO_Analog","TMPH3_PG4"
"N13","PH7","I/O","I2C3_SCL","TMPH3_PH7_SCL3_MISO5"
"N14","PH9","I/O","GPIO_Analog","TMPH3_PH9"
"N15","PH11","I/O","GPIO_Analog","TMPH3_PH11"
"P1","VREF+","Power","",""
"P2","PA2","I/O","ETH_MDIO","MII_MDIO"
"P3","PA6","I/O","",""
"P4","PA5","I/O","DAC_OUT2","NC_DAC2"
"P5","PC5","I/O","ETH_RXD1","MII_RXD1"
"P6","PF14","I/O","I2C4_SCL","TMPH5_PF14_SCL4"
"P7","PJ2","I/O","",""
"P8","PF11","I/O","SPI5_MOSI","TMPH5_PF11_MOSI5"
"P9","PE9","I/O","UART7_RTS","UART_RTS7"
"P10","PE11","I/O","SPI4_NSS","TMPH5_PE11_NSS4"
"P11","PE14","I/O","SPI4_MOSI","TMPH5_PE14_MOSI4"
"P12","PB10","I/O","",""
"P13","PH6","I/O","SPI5_SCK","TMPH3_PH6_SCK5"
"P14","PH8","I/O","I2C3_SDA","TMPH3_PH8_SDA3"
"P15","PH10","I/O","GPIO_Analog","TMPH3_PH10"
"R1","VDDA","Power","",""
"R2","PA3","I/O","ETH_COL","MII_COL"
"R3","PA7","I/O","ETH_RX_DV","MII_RXDV"
"R4","PB1","I/O","ETH_RXD3","MII_RXD3"
"R5","PB0","I/O","ETH_RXD2","MII_RXD2"
"R6","PJ0","I/O","",""
"R7","PJ1","I/O","",""
"R8","PE7","I/O","UART7_RX","UART_RXD7"
"R9","PE10","I/O","UART7_CTS","UART_CTS7"
"R10","PE12","I/O","SPI4_SCK","TMPH5_PE12_SCK4"
"R11","PE15","I/O","GPIO_Analog","TMPH5_PE15"
"R12","PE13","I/O","SPI4_MISO","TMPH5_PE13_MISO4"
"R13","PB11","I/O","ETH_TX_EN","MII_TXEN"
"R14","PB14","I/O","USB_OTG_HS_DM","USB_HOST_DM"
"R15","PB15","I/O","USB_OTG_HS_DP","USB_HOST_DP"
